gene,trait,p_acat,n_tissues,in_both,z_wb
ARMC1,DR,0.3017620357701851,1,True,
ARPIN,DN,1.0,2,True,0.5076
ARPIN,DPN,0.26434968474143505,2,True,0.4163
ARPIN,DR,0.04303820456051201,2,True,1.5038
ARSK,DN,0.007689140341217762,2,True,2.074
ARSK,DPN,9.221695436111001e-05,2,True,-1.4018
ARSK,DR,0.0007464106482533928,2,True,3.3697
ASAH2B,DN,0.01499968988594589,2,True,1.0892
ASAH2B,DPN,0.027999429669071884,2,True,-2.1912
ASAH2B,DR,2.5722805547212803e-08,2,True,-5.5533
ASB1,DN,0.011035021901036208,2,True,-0.0323
ASB1,DPN,0.0003581901493160254,2,True,1.0586
ASB1,DR,0.33569834973752566,2,True,0.3076
ASB7,DN,0.6161627787626425,1,False,-0.5013
ASB7,DPN,0.002765270959034536,1,False,-2.9927
ASB7,DR,0.02193177736846709,1,False,-2.2915
ASTL,DN,0.013422677053726592,1,False,2.4724
ASTL,DPN,0.18230164715583463,1,False,-1.3337
ASTL,DR,0.11763631411394027,1,False,1.5648
AZI2,DN,1.0,2,True,-0.6117
AZI2,DPN,0.03251371074113223,2,True,1.9127
AZI2,DR,1.0,2,True,-0.3069
B4GALT6,DN,0.7794115686931596,1,False,0.2801
B4GALT6,DPN,0.06618439838114026,1,False,-1.8372
B4GALT6,DR,0.9995406984293657,1,False,-0.0006
BAG5,DN,0.02336014128928309,2,True,-2.0486
BAG5,DPN,0.015340657818876622,2,True,-2.328
BAG5,DR,1.4877883807651784e-06,2,True,4.5276
BAIAP2L2,DN,1.6608774620481493e-08,2,True,-5.6441
BAIAP2L2,DPN,0.0004190025321374759,2,True,-3.5268
BAIAP2L2,DR,0.0001034771443825234,2,True,-3.8823
BAMBI,DN,3.64213394570652e-07,1,False,5.0868
BAMBI,DPN,0.0015061790545070754,1,False,3.1735
BAMBI,DR,9.004327353881618e-08,1,False,5.3458
BANF1,DN,0.06464416009998451,2,True,-1.2994
BANF1,DPN,0.18086442739544942,2,True,1.3793
BANF1,DR,0.029686069812403234,2,True,-1.858
BBS2,DN,0.00608753655831983,2,True,-2.3166
BBS2,DPN,7.932205503495449e-07,2,True,-4.933
BBS2,DR,0.0015208766835156898,2,True,-1.8948
BCAP29,DN,4.302883956920236e-111,2,True,-22.396
BCAP29,DPN,9.999999999999999e-301,2,True,37.2333
BCAP29,DR,4.6230105327520434e-122,2,True,23.4947
BCAS2,DN,1.0,2,True,-1.5922
BCAS2,DPN,7.485590009537585e-07,2,True,1.8209
BCAS2,DR,3.886573557325615e-12,2,True,3.3094
BDP1,DN,0.0714356188381762,2,True,1.8104
BDP1,DPN,0.00024542749412897325,2,True,-3.6669
BDP1,DR,0.0021742824671837748,2,True,0.2966
BEND5,DN,1.3378155342996225e-16,1,True,
BEND5,DPN,4.315463463211309e-14,1,True,
BEND5,DR,2.707363220990778e-09,1,True,
BPI,DN,4.5222381383698965e-09,2,True,-5.8637
BPI,DPN,1.729379363224373e-17,2,True,8.5107
BPI,DR,2.9142695458979098e-05,2,True,4.1802
BRD1,DN,0.04776983106427585,1,False,-1.9794
BRD1,DPN,0.07553591193819396,1,False,1.7772
BRD1,DR,2.1763911598322155e-07,1,False,-5.1836
BRIP1,DN,0.026956004337196773,1,True,
BRIP1,DPN,0.2863010128457134,1,True,
BRIP1,DR,0.0021892043798804792,1,True,
BTBD19,DN,0.0036475179187222214,2,True,2.906
BTBD19,DPN,1.528321187852807e-06,2,True,-4.7935
BTBD19,DR,0.001442260628244289,2,True,2.4632
C12ORF49,DN,0.011085076792627746,2,True,-2.4446
C12ORF49,DPN,9.203330939582406e-12,2,True,-6.8184
C12ORF49,DR,0.0001946093212744682,2,True,-1.3648
C19ORF18,DN,0.05009115185881393,2,True,-1.8401
C19ORF18,DPN,1.0,2,True,-1.0031
C19ORF18,DR,5.100912073765249e-09,2,True,-5.8438
C1ORF123,DN,4.924804377711629e-07,2,True,-5.027
C1ORF123,DPN,0.07569808598601623,2,True,-1.7565
C1ORF123,DR,0.09166249602676528,2,True,-0.9231
C1ORF226,DN,7.361157515230665e-12,1,False,6.8505
C1ORF226,DPN,0.013694844317165026,1,False,2.4652
C1ORF226,DR,0.004569492782340343,1,False,2.8359
C2CD2,DN,1.8826240518857396e-05,1,True,
C2CD2,DPN,3.129586645033951e-05,1,True,
C2CD2,DR,0.23012248552283765,1,True,
C2ORF69,DN,0.007817698808729175,2,True,1.6581
C2ORF69,DPN,4.828842032677271e-06,2,True,3.7856
C2ORF69,DR,1.0,2,True,0.7866
C3ORF20,DN,0.04127122999533137,2,True,1.7438
C3ORF20,DPN,0.00454834703225261,2,True,-2.6085
C3ORF20,DR,0.0002828521856795381,2,True,-3.4475
C3ORF38,DN,6.481540656833609e-07,2,True,4.8403
C3ORF38,DPN,0.03267178608412407,2,True,1.8475
C3ORF38,DR,2.0585751357479904e-07,2,True,5.0635
C4ORF32,DN,0.02531459818896616,2,True,-1.9573
C4ORF32,DPN,0.0005890673726796932,2,True,-3.2441
C4ORF32,DR,0.0007914583341629766,2,True,-3.159
C5ORF15,DN,0.003967520343470386,1,True,
C5ORF15,DPN,0.004734308230090189,1,True,
C5ORF15,DR,0.000399810116431451,1,True,
CA11,DN,2.1165560644560637e-31,2,True,-2.5268
CA11,DPN,2.5090207309236813e-05,2,True,3.4863
CA11,DR,1.0,2,True,0.6062
CA8,DN,0.011243119175671414,2,True,-2.541
CA8,DPN,0.023090751587260896,2,True,-2.1758
CA8,DR,0.030939157408212233,2,True,-1.8279
CACUL1,DN,0.0005170449464733099,2,True,3.4083
CACUL1,DPN,0.22339119115745698,2,True,-0.8912
CACUL1,DR,0.31392390404352094,2,True,0.9483
CAPRIN2,DN,0.07660775434496123,1,False,1.7707
CAPRIN2,DPN,0.23550608086698294,1,False,1.1863
CAPRIN2,DR,0.0024022701801595476,1,False,3.0354
CAPZA2,DN,0.0017095098922387635,2,True,2.1606
CAPZA2,DPN,0.2072837564527418,2,True,1.2059
CAPZA2,DR,0.028191955069810506,2,True,2.1194
CARM1,DN,0.005363866142889926,2,True,-2.7691
CARM1,DPN,0.037822546703209135,2,True,2.0786
CARM1,DR,0.0026879021611750783,2,True,0.366
CASC4,DN,7.808246818561227e-07,2,True,4.8032
CASC4,DPN,1.0,2,True,0.097
CASC4,DR,5.0098615995614455e-05,2,True,3.8901
CBX1,DN,0.005762657002027563,2,True,0.801
CBX1,DPN,1.0,2,True,-0.2325
CBX1,DR,5.277559044912139e-20,2,True,0.194
CBX6,DN,0.00037689652690045235,2,True,0.6632
CBX6,DPN,1.093653840495044e-05,2,True,1.5186
CBX6,DR,4.671817391562374e-06,2,True,4.579
CCDC6,DN,0.05836007768390389,2,True,-1.9981
CCDC6,DPN,7.626677555808402e-122,2,True,-1.4624
CCDC6,DR,8.027961689776188e-08,2,True,1.453
CCDC80,DN,0.00016916144336425663,1,True,
CCDC80,DPN,3.348897912277861e-10,1,True,
CCDC80,DR,1.2071176162640212e-09,1,True,
CCL4,DN,0.00040515533852755265,2,True,3.31
CCL4,DPN,0.0019566405207577377,2,True,-2.0253
CCL4,DR,0.00046057755205638963,2,True,3.4628
CD5,DN,2.124040771614568e-06,2,True,-4.6837
CD5,DPN,2.018915982260144e-05,2,True,-4.2627
CD5,DR,0.007913546603676932,2,True,2.2368
CD72,DN,4.391699694473579e-11,2,True,2.9558
CD72,DPN,0.0002966763823806218,2,True,-3.6183
CD72,DR,1.0,2,True,-0.4948
CDC37L1-AS1,DN,7.441814233992358e-08,2,True,4.8553
CDC37L1-AS1,DPN,1.0,2,True,-0.028
CDC37L1-AS1,DR,9.118617995101608e-10,2,True,6.1183
CDC42,DN,9.02141545048897e-12,2,True,0.6235
CDC42,DPN,0.04487235645159579,2,True,-0.7373
CDC42,DR,4.1337364618044145e-09,2,True,-0.1217
CDC7,DN,1.0,2,True,0.0631
CDC7,DPN,0.15567505300762094,2,True,-1.6195
CDC7,DR,0.06689545523824683,2,True,-1.5719
CDH13,DN,0.061994620783231334,2,True,1.7723
CDH13,DPN,1.0,2,True,-0.8686
CDH13,DR,0.00652604076628508,2,True,1.9969
CDHR1,DN,0.0671860477394359,2,True,-0.9711
CDHR1,DPN,1.0,2,True,0.4696
CDHR1,DR,0.2348976728096278,2,True,-0.9119
CDK11B,DN,1.3191222063668858e-39,2,True,4.2269
CDK11B,DPN,2.091176916261331e-05,2,True,1.6705
CDK11B,DR,1.793849417770679e-20,2,True,1.3329
CDK5,DN,2.982726820878656e-08,1,False,5.5424
CDK5,DPN,0.9799831616911342,1,False,0.0251
CDK5,DR,0.0014531811060581959,1,False,3.1839
CDS1,DN,5.372723315859525e-19,2,True,-8.8271
CDS1,DPN,2.7003205647498873e-05,2,True,-4.0376
CDS1,DR,6.617556544731394e-12,2,True,-6.766
CEBPA,DN,0.027215842845013098,1,False,-2.2084
CEBPA,DPN,3.736155334797641e-05,1,False,4.1232
CEBPA,DR,0.2766901945726251,1,False,1.0878
CES3,DN,4.947925793770502e-06,2,True,4.4194
CES3,DPN,1.0,2,True,-0.513
CES3,DR,0.026335676706062752,2,True,-1.9405
CFDP1,DN,1.0,2,True,-0.1828
CFDP1,DPN,1.0,2,True,0.6972
CFDP1,DR,0.14314621244409204,2,True,-0.7623
CHAC1,DN,0.30883315988851623,1,False,1.0177
CHAC1,DPN,0.2814197059542682,1,False,-1.0771
CHAC1,DR,0.972778964462937,1,False,-0.0341
CHML,DN,0.0004191886403373665,1,True,
CHML,DPN,0.007467288238447651,1,True,
CHML,DR,0.6586666069148748,1,True,
CHMP2A,DN,0.029432472734283257,2,True,-2.0598
CHMP2A,DPN,0.00022258228614544727,2,True,-3.6873
CHMP2A,DR,1.0898119660334997e-05,2,True,0.3448
CHRNE,DN,0.006541415686659956,2,True,-1.6299
CHRNE,DPN,8.468470405527948e-21,2,True,9.3371
CHRNE,DR,1.0,2,True,-0.6061
CISD3,DN,4.806221705806854e-10,2,True,6.2253
CISD3,DPN,0.0026565600748290038,2,True,3.0024
CISD3,DR,0.19647164148823215,2,True,1.4524
CITED2,DN,0.04707122979629665,1,True,
CITED2,DPN,0.09406619436523557,1,True,
CITED2,DR,1.3746302853038772e-10,1,True,
CLEC10A,DN,0.00024893027552613193,2,True,3.6625
CLEC10A,DPN,4.917698788128275e-13,2,True,7.2276
CLEC10A,DR,0.00037918805518885715,2,True,3.547
CLEC2D,DN,0.12430490897141858,2,True,-1.3858
CLEC2D,DPN,2.030356174891582e-14,2,True,1.1896
CLEC2D,DR,1.6624404377169008e-12,2,True,3.2537
CLECL1,DN,1.7551988669177065e-08,2,True,-1.3797
CLECL1,DPN,0.033678504257545296,2,True,1.966
CLECL1,DR,1.587275040950033e-42,2,True,-2.5433
CLIP4,DN,0.9503008486484145,1,True,
CLIP4,DPN,0.02922331465465751,1,True,
CLIP4,DR,0.0006241648685510481,1,True,
CLK1,DN,1.1827982910509503e-08,1,False,-5.7022
CLK1,DPN,0.3694942443044564,1,False,-0.8974
CLK1,DR,2.965832814873431e-06,1,False,-4.6732
CLN3,DN,0.019794718920543256,2,True,-2.3811
CLN3,DPN,0.00020300584578796036,2,True,-3.7151
CLN3,DR,0.00736161929574865,2,True,-2.6735
COL16A1,DN,0.00028702532378625556,1,False,3.6267
COL16A1,DPN,0.008044248548134165,1,False,2.6502
COL16A1,DR,0.0003836725624709557,1,False,-3.5511
COL6A2,DN,9.237900657914567e-23,2,True,0.741
COL6A2,DPN,8.764747320349989e-118,2,True,-2.1672
COL6A2,DR,1.2545241623815473e-163,2,True,0.6965
COL7A1,DN,8.488762220215101e-05,2,True,3.7602
COL7A1,DPN,0.33052005776918736,2,True,0.826
COL7A1,DR,1.0,2,True,-0.4058
CPNE3,DN,1.0,2,True,0.7458
CPNE3,DPN,0.01611478029826803,2,True,-0.5625
CPNE3,DR,0.14056705041422063,2,True,-1.2201
CPSF2,DN,0.009680800056324322,2,True,1.7084
CPSF2,DPN,4.228264005455713e-09,2,True,4.2185
CPSF2,DR,1.0,2,True,-0.0351
CRACR2B,DN,1.0994323646765548e-12,2,True,7.1174
CRACR2B,DPN,1.0,2,True,-0.2513
CRACR2B,DR,1.0,2,True,-0.3009
CRYGS,DN,6.009550325332277e-19,2,True,8.8919
CRYGS,DPN,9.3903800878836e-13,2,True,-7.1387
CRYGS,DR,1.4346573957498418e-198,2,True,-0.6289
CTBS,DN,3.526260506685319e-156,2,True,-9.5392
CTBS,DPN,1.1565595239906483e-56,2,True,7.5407
CTBS,DR,1.7519469074770098e-15,2,True,4.9807
CTC-281F24.1,DN,1.5795098175216037e-06,1,False,4.8009
CTC-281F24.1,DPN,0.0011062245425950887,1,False,-3.262
CTC-281F24.1,DR,0.04001125142419773,1,False,-2.0536
CTD-2081C10.7,DN,0.07870271943697672,1,True,
CTD-2081C10.7,DPN,0.0009495894183306901,1,True,
CTD-2081C10.7,DR,0.4066950550049864,1,True,
CTD-2547L24.4,DN,0.11366212128972385,1,False,1.5819
CTD-2547L24.4,DPN,0.014315224432494224,1,False,-2.4493
CTD-2547L24.4,DR,0.6668274230401934,1,False,0.4305
CTD-3116E22.8,DN,0.7094558922311898,1,True,
CTD-3116E22.8,DPN,0.08783999584778507,1,True,
CTD-3116E22.8,DR,0.0026816553805481796,1,True,
CUTC,DN,0.01760952134944109,1,False,2.3737
CUTC,DPN,0.07714858545035168,1,False,-1.7675
CUTC,DR,0.038054784901874694,1,False,-2.0743
CYB5D2,DN,3.5972358948098873e-19,1,False,8.9487
CYB5D2,DPN,2.042104738063473e-28,1,False,-11.0564
CYB5D2,DR,0.40697111223911153,1,False,0.8292
CYB5R3,DN,0.008640986448612314,2,True,-1.4202
CYB5R3,DPN,0.0002739770284935242,2,True,-2.8076
CYB5R3,DR,0.0036894046529069883,2,True,2.4621
CYSLTR2,DN,0.4670397948037645,1,False,0.7273
CYSLTR2,DPN,0.6881940219864924,1,False,0.4013
CYSLTR2,DR,0.6571946752466731,1,False,0.4438
DAPP1,DN,0.04124943124919804,2,True,-2.0945
DAPP1,DPN,0.05053969919290106,2,True,1.5672
DAPP1,DR,1.0,2,True,-0.629
DBF4B,DN,1.3703384881478758e-10,2,True,-6.4192
DBF4B,DPN,1.0,2,True,0.9268
DBF4B,DR,0.0037237516803912867,2,True,2.695
DCTD,DN,1.0682635573786248e-05,2,True,-4.4029
DCTD,DPN,0.001193456264481575,2,True,-3.2391
DCTD,DR,3.6869866623921584e-29,2,True,-11.2089
DCTN5,DN,1.0,2,True,0.21
DCTN5,DPN,1.7602628374546368e-08,2,True,-5.1128
DCTN5,DR,0.0021222284858327957,2,True,2.7978
DDHD1,DN,0.07366310915329805,2,True,-1.2489
DDHD1,DPN,4.488032348676113e-14,2,True,7.546
DDHD1,DR,4.8049186686538416e-06,2,True,3.6905
DDIAS,DN,0.05237160702538839,2,True,1.7198
DDIAS,DPN,0.11078127938582695,2,True,0.3404
DDIAS,DR,1.0915875303710823e-07,2,True,-5.3108
DEGS2,DN,0.23576495840359069,2,True,1.6938
DEGS2,DPN,0.0015645849469603454,2,True,-2.9599
DEGS2,DR,0.09168623329329159,2,True,1.6939
DENND5A,DN,2.0320672529044032e-19,2,True,9.0115
DENND5A,DPN,1.1785200144706004e-22,2,True,9.7954
DENND5A,DR,1.0,2,True,1.8018
DGCR2,DN,6.35369094540232e-148,1,False,25.9018
DGCR2,DPN,3.4743929675784597e-07,1,False,-5.0957
DGCR2,DR,1.1028604710441862e-05,1,False,4.396
DMXL1,DN,2.2119550979023557e-59,2,True,-0.6508
DMXL1,DPN,6.358929810958766e-10,2,True,6.1813
DMXL1,DR,1.0028659075420043e-15,2,True,-0.2227
DNAI2,DN,5.1491912480380764e-05,1,False,4.0487
DNAI2,DPN,0.0505058470589781,1,False,-1.9557
DNAI2,DR,0.03242743583268477,1,False,2.1391
DNAJC15,DN,1.0,2,True,0.3445
DNAJC15,DPN,1.2308215811679658e-05,2,True,-4.0526
DNAJC15,DR,0.29472672871829547,2,True,0.478
DNAJC9,DN,0.0011732646129293666,2,True,3.0425
DNAJC9,DPN,1.3283158428199217e-08,2,True,5.5627
DNAJC9,DR,1.4804010118803345e-18,2,True,-8.7129
DNAL4,DN,1.5062998709906756e-06,2,True,-1.1793
DNAL4,DPN,1.292495409243538e-10,2,True,-6.4281
DNAL4,DR,5.350778887311479e-19,2,True,-5.1334
DPEP3,DN,0.1357200562113786,1,False,-1.4919
DPEP3,DPN,0.956591577302342,1,False,-0.0544
DPEP3,DR,2.0804481028675778e-10,1,False,-6.3553
DPPA4,DN,0.4472517648718381,1,False,0.76
DPPA4,DPN,0.5307421124607828,1,False,-0.6269
DPPA4,DR,0.7033943506498416,1,False,-0.3807
DSC2,DN,0.7448228012442986,1,False,0.3255
DSC2,DPN,0.01571848201302357,1,False,-2.4154
DSC2,DR,2.790976910049611e-05,1,False,4.1899
DZIP1L,DN,0.09089018509864336,2,True,1.6384
DZIP1L,DPN,0.0005016853106234313,2,True,3.2698
DZIP1L,DR,0.05570075930418433,2,True,1.8793
E4F1,DN,0.5730377237966955,1,False,-0.5636
E4F1,DPN,0.7028492845158281,1,False,0.3815
E4F1,DR,0.9747203178566575,1,False,0.0317
EBLN2,DN,0.9597283771095835,1,True,
EBLN2,DPN,0.8013385188402413,1,True,
EBLN2,DR,0.9114376353221727,1,True,
ECHDC3,DN,0.0051428968141729505,2,True,-2.4881
ECHDC3,DPN,0.00400021971873893,2,True,-1.1377
ECHDC3,DR,0.1267525990383511,2,True,-1.4232
EEPD1,DN,0.014414904034665822,2,True,2.4317
EEPD1,DPN,7.26394732160933e-05,2,True,3.9675
EEPD1,DR,0.0003316563129313308,2,True,3.5836
EHMT1,DN,0.039391545611131784,2,True,1.9798
EHMT1,DPN,1.0,2,True,-0.6676
