gene,tissue,trait,zscore,pvalue,n_snps_model,n_snps_matched
PPARG,Whole_Blood,DR,-5.3308,9.776662106610864e-08,1,1
PUF60,Whole_Blood,DR,1.5585,0.11910902965695723,1,1
RNH1,Whole_Blood,DR,12.4974,7.714872779760084e-36,3,3
RPL10A,Whole_Blood,DR,-107.3873,0.0,3,2
RPL14,Whole_Blood,DR,0.8148,0.415205409718471,2,2
RPL27A,Whole_Blood,DR,0.4733,0.6359972435860788,2,2
RPL5,Whole_Blood,DR,1.1868,0.2353257000491482,1,1
RPL8,Whole_Blood,DR,-1.0977,0.2723395215860515,2,1
RPLP0,Whole_Blood,DR,4.6646,3.092276294462219e-06,2,2
RPN1,Whole_Blood,DR,-2.7063,0.006804597009958197,2,1
RPS14,Whole_Blood,DR,0.166,0.8681597630015213,3,2
RPS16,Whole_Blood,DR,-1.0943,0.27381818294201543,1,1
RPS18,Whole_Blood,DR,6.9782,2.990629423178976e-12,2,2
RPS25,Whole_Blood,DR,5.7733,7.773632212319968e-09,2,2
RPS8,Whole_Blood,DR,8.5157,1.6563159016912042e-17,1,1
RRBP1,Whole_Blood,DR,1.0946,0.2736816082258237,2,2
ST6GAL1,Whole_Blood,DR,-0.8062,0.4201147395642533,1,1
TUBB,Whole_Blood,DR,2.764,0.0057095511512848625,1,1
UBA52,Whole_Blood,DR,0.195,0.8453890675864304,2,2
VCP,Whole_Blood,DR,2.4294,0.015124892134297789,2,2
XRCC5,Whole_Blood,DR,0.4657,0.6413964427986929,3,3
XRCC6,Whole_Blood,DR,-9.2325,2.644817729280566e-20,2,2
YWHAQ,Whole_Blood,DR,3.6939,0.00022088046015749676,1,1
ACTB,Nerve_Tibial,DN,-1.5936,0.11101689310483306,1,1
ANXA1,Nerve_Tibial,DN,-19.3538,1.894032599520979e-83,1,1
ANXA5,Nerve_Tibial,DN,-1.7269,0.08418116574058007,3,3
APPL1,Nerve_Tibial,DN,1.3446,0.1787486086863511,1,1
ARAP1,Nerve_Tibial,DN,-2.2401,0.0250820660098417,2,2
C1QBP,Nerve_Tibial,DN,-2.8837,0.0039305782984287805,2,2
CAMK1D,Nerve_Tibial,DN,1.8158,0.06940026002060372,2,1
CDKAL1,Nerve_Tibial,DN,-1.5653,0.11750496704608929,3,3
DDX5,Nerve_Tibial,DN,1.5011,0.1333240954661404,1,1
DHX9,Nerve_Tibial,DN,3.9565,7.606931468875083e-05,1,1
DUSP8,Nerve_Tibial,DN,-1.1506,0.24988694815161663,2,1
EHD4,Nerve_Tibial,DN,-1.339,0.1805586954302825,3,3
EIF4A1,Nerve_Tibial,DN,0.0106,0.991531314183275,1,1
FTO,Nerve_Tibial,DN,4.7555,1.979164533662426e-06,1,1
GAPDH,Nerve_Tibial,DN,-2.7346,0.006245869113725699,2,2
GCK,Nerve_Tibial,DN,-2.9019,0.0037092938486617006,3,3
GCKR,Nerve_Tibial,DN,9.5787,9.82653253279601e-22,1,1
GRB14,Nerve_Tibial,DN,-0.9399,0.3472703081026263,1,1
H2AFV,Nerve_Tibial,DN,-6.3427,2.2573138072576232e-10,2,2
HHEX,Nerve_Tibial,DN,1.1674,0.24303144890760275,1,1
HNRNPA3,Nerve_Tibial,DN,10.8347,2.356883514354314e-27,1,1
HSP90AB1,Nerve_Tibial,DN,24.8976,7.900396904111378e-137,3,3
JAZF1,Nerve_Tibial,DN,2.0074,0.04471154714307177,2,2
KCNJ11,Nerve_Tibial,DN,0.351,0.725592970385819,2,2
MYH9,Nerve_Tibial,DN,-0.2435,0.8075886989125209,2,2
PDIA3,Nerve_Tibial,DN,7.8624,3.76777185089842e-15,1,1
PNN,Nerve_Tibial,DN,-5.1614,2.4514972579560397e-07,1,1
PPARG,Nerve_Tibial,DN,-2.1678,0.03017052720968999,1,1
PROX1,Nerve_Tibial,DN,-1.6477,0.09940636803294785,1,1
PUF60,Nerve_Tibial,DN,0.8636,0.38781218841873716,1,1
RNH1,Nerve_Tibial,DN,7.0023,2.517631030829571e-12,4,4
RPL10A,Nerve_Tibial,DN,-0.7365,0.46145166186256326,5,5
RPL13A,Nerve_Tibial,DN,-1.9555,0.050524764453957774,1,1
RPL14,Nerve_Tibial,DN,-0.9844,0.32490675490774223,1,1
RPL23A,Nerve_Tibial,DN,2.1999,0.027812108158875245,1,1
RPL27A,Nerve_Tibial,DN,-0.669,0.5034787163819752,2,2
RPL7,Nerve_Tibial,DN,0.6122,0.5404088271853723,1,1
RPL8,Nerve_Tibial,DN,0.6471,0.517568161449689,1,1
RPLP0,Nerve_Tibial,DN,5.2648,1.4036590434498368e-07,2,2
RPN1,Nerve_Tibial,DN,0.3423,0.7321047767076105,3,1
