gene,trait,p_acat,n_tissues,in_both
ARNT,DN,0.11356983434113539,1,True
ARNT,DPN,0.30473034765217843,1,True
ARNT,DR,0.7231592134757829,1,True
ARPC2,DN,0.38354479168429834,2,True
ARPC2,DPN,0.010108171577497712,2,True
ARPC2,DR,0.024796966736039212,2,True
ARPP19,DN,4.566238765708598e-47,2,True
ARPP19,DPN,2.3548104455138413e-46,2,True
ARPP19,DR,1.7580289098287699e-217,2,True
ASNSD1,DN,0.3161448205750468,2,True
ASNSD1,DPN,0.00634031784988298,2,True
ASNSD1,DR,3.0452320922081386e-08,2,True
ASXL1,DN,6.471120201643256e-07,2,True
ASXL1,DPN,0.030873734548180935,2,True
ASXL1,DR,0.46814512183620294,2,True
ATF6,DN,1.3363625151464619e-45,2,True
ATF6,DPN,2.4869864982496665e-36,2,True
ATF6,DR,0.003896161302324525,2,True
ATF6B,DN,4.999999999999999e-301,2,True
ATF6B,DPN,4.999999999999999e-301,2,True
ATF6B,DR,4.999999999999999e-301,2,True
ATG101,DN,0.36631744195160654,2,True
ATG101,DPN,0.11475936922377929,2,True
ATG101,DR,0.18772825228767662,2,True
ATG3,DN,1.4582901900205104e-22,2,True
ATG3,DPN,1.8188588517145563e-08,2,True
ATG3,DR,1.502684599772008e-15,2,True
B4GALT7,DN,0.018776135688211553,2,True
B4GALT7,DPN,1.0,2,True
B4GALT7,DR,0.00010176712810589941,2,True
BAD,DN,1.2897242099887066e-28,1,False
BAD,DPN,2.4308279145791766e-14,1,False
BAD,DR,3.3826487541153553e-221,1,False
BAG6,DN,1.039529331904461e-34,1,False
BAG6,DPN,1.0274979450756023e-26,1,False
BAG6,DR,4.715303557080476e-111,1,False
BANF1,DN,0.06464416009998451,2,True
BANF1,DPN,0.18086442739544942,2,True
BANF1,DR,0.029686069812403234,2,True
BAZ1B,DN,2.3554652493462787e-16,2,True
BAZ1B,DPN,1.0462263820920205e-55,2,True
BAZ1B,DR,2.4253879053101464e-25,2,True
BCKDK,DN,0.025503432512038373,2,True
BCKDK,DPN,1.0,2,True
BCKDK,DR,0.01577141576670497,2,True
BFAR,DN,7.630404966652965e-12,2,True
BFAR,DPN,1.0,2,True
BFAR,DR,1.4504185186715586e-137,2,True
BLOC1S2,DN,0.028000447640923857,2,True
BLOC1S2,DPN,9.933925072858306e-19,2,True
BLOC1S2,DR,1.0347320148265862e-45,2,True
BOD1,DN,0.9576722810273295,1,True
BOD1,DPN,0.0003899681227731605,1,True
BOD1,DR,0.004481313567041761,1,True
BORCS7,DN,2.7563676142154967e-10,2,True
BORCS7,DPN,0.0017621158226426284,2,True
BORCS7,DR,0.047748796544502155,2,True
BRD3,DN,1.0,2,True
BRD3,DPN,1.0,2,True
BRD3,DR,1.0,2,True
BRD4,DN,0.35068907993932946,2,True
BRD4,DPN,1.0,2,True
BRD4,DR,0.003909806100491709,2,True
BRK1,DN,0.00333417879985518,2,True
BRK1,DPN,0.0038740081079755464,2,True
BRK1,DR,1.2655975389804524e-05,2,True
BSDC1,DN,0.005206462318734309,2,True
BSDC1,DPN,1.0,2,True
BSDC1,DR,1.2173774409629383e-44,2,True
BTBD1,DN,3.798133722442899e-05,2,True
BTBD1,DPN,1.0,2,True
BTBD1,DR,0.04090357806229843,2,True
