gene,trait,grp,z_Nerve_Tibial,z_Whole_Blood,n_snps_matched_NT,n_snps_matched_WB,p_ACAT_O,n_tissues,z_ACAT_O
RPL13A,DPN,30 HOTAIR Candidate,0.8092,,1.0,,0.4184001149335449,1,0.8091999999999999
RPL13A,DR,30 HOTAIR Candidate,-0.8005,,1.0,,0.42342116355668497,1,-0.8005
RPL14,DN,44 Non-Candidate,-0.9844,-0.4695,1.0,2.0,0.45337947873113355,2,-0.7497928449399125
RPL14,DPN,44 Non-Candidate,-2.0941,-1.3889,1.0,2.0,0.030230801499053297,2,-2.167053152098098
RPL14,DR,44 Non-Candidate,-2.4388,0.8148,1.0,2.0,0.014552372421883498,2,-2.4433312751682497
RPL23A,DN,30 HOTAIR Candidate,2.1999,,1.0,,0.02781399072605293,1,2.1998999999999995
RPL23A,DPN,30 HOTAIR Candidate,7.6632,,1.0,,1.813565904735454e-14,1,7.6632
RPL23A,DR,30 HOTAIR Candidate,4.7399,,1.0,,2.1382372211148762e-06,1,4.739899999999999
RPL27A,DN,44 Non-Candidate,-0.669,0.8632,2.0,2.0,0.3911190072340496,2,-0.8575898037365035
RPL27A,DPN,44 Non-Candidate,-2.3643,-0.9429,2.0,2.0,0.017540596535176676,2,-2.375175741095968
RPL27A,DR,44 Non-Candidate,2.4653,0.4733,2.0,2.0,0.013963105664747205,2,2.458211135143377
RPL5,DN,30 HOTAIR Candidate,,-2.0563,,1.0,0.03975360830751494,1,-2.0562999999999994
RPL5,DPN,30 HOTAIR Candidate,,0.5513,,1.0,0.581428038495011,1,0.5512999999999999
RPL5,DR,30 HOTAIR Candidate,,1.1868,,1.0,0.23530651884905576,1,1.1867999999999999
RPL7,DN,44 Non-Candidate,0.6122,,1.0,,0.5404054415885092,1,0.6121999999999999
RPL7,DPN,44 Non-Candidate,-1.0026,,1.0,,0.3160538958156704,1,-1.0025999999999997
RPL7,DR,44 Non-Candidate,2.1763,,1.0,,0.029532835551114762,1,2.1762999999999995
RPL8,DN,30 HOTAIR Candidate,0.6471,0.6471,1.0,1.0,1.0,2,1.8669045833583425e-59
RPL8,DPN,30 HOTAIR Candidate,-2.1896,-2.1896,1.0,1.0,0.014305406867410966,2,-2.4495016139673416
RPL8,DR,30 HOTAIR Candidate,-1.0977,-1.0977,1.0,1.0,0.16624798194079893,2,-1.3843608774440992
RPLP0,DN,30 HOTAIR Candidate,5.2648,4.3313,2.0,2.0,1.390257911229085e-07,2,5.266530984551718
RPLP0,DPN,30 HOTAIR Candidate,1.0583,2.1893,2.0,2.0,0.02671824327066315,2,2.215609710163964
RPLP0,DR,30 HOTAIR Candidate,1.9268,4.6646,2.0,2.0,3.0920039931547523e-06,2,4.664611661314758
RPN1,DN,44 Non-Candidate,0.3423,1.471,1.0,1.0,0.21992523247052395,2,1.2267269564818228
RPN1,DPN,44 Non-Candidate,2.9578,2.7169,1.0,1.0,0.002107605188351363,2,3.0746347081814953
RPN1,DR,44 Non-Candidate,-0.3721,-2.7063,1.0,1.0,0.006918306870163633,2,-2.700751209215295
RPS14,DN,30 HOTAIR Candidate,21.5281,6.5269,1.0,2.0,8.494536494568854e-103,2,21.528099999999995
RPS14,DPN,30 HOTAIR Candidate,-1.3772,0.4945,1.0,2.0,0.20748348384299917,2,-1.2605154337591484
RPS14,DR,30 HOTAIR Candidate,-1.4853,0.166,1.0,2.0,1.0,2,-1.8669045833583425e-59
RPS16,DN,30 HOTAIR Candidate,-0.2563,-1.355,2.0,1.0,0.4156983276360687,2,-0.8139068300526502
RPS16,DPN,30 HOTAIR Candidate,2.0639,2.1793,2.0,1.0,0.016786367798590524,2,2.3913538044872054
RPS16,DR,30 HOTAIR Candidate,-0.0796,-1.0943,2.0,1.0,1.0,2,-1.8669045833583425e-59
RPS18,DN,30 HOTAIR Candidate,9.3828,9.6069,2.0,2.0,6.697193843895446e-22,2,9.618232643801047
RPS18,DPN,30 HOTAIR Candidate,9.9256,9.9744,2.0,2.0,1.2235814992564905e-23,2,10.021717303881339
RPS18,DR,30 HOTAIR Candidate,6.8153,6.9782,2.0,2.0,2.2687522161012843e-12,2,7.016881280754909
RPS25,DN,30 HOTAIR Candidate,0.1561,-2.0838,1.0,2.0,0.05182291683247177,2,1.9446018471145323
RPS25,DPN,30 HOTAIR Candidate,2.2843,-2.0214,1.0,2.0,0.014772111147265432,2,2.4379183266311006
RPS25,DR,30 HOTAIR Candidate,3.7949,5.7733,1.0,2.0,7.772976975772128e-09,2,5.77330886364871
RPS3,DN,30 HOTAIR Candidate,-2.3509,,1.0,,0.018728066249005575,1,-2.3509
RPS3,DPN,30 HOTAIR Candidate,-0.5073,,1.0,,0.6119443385869461,1,-0.5072999999999999
RPS3,DR,30 HOTAIR Candidate,-0.4169,,1.0,,0.6767515535492798,1,-0.41689999999999994
RPS3A,DN,44 Non-Candidate,2.8864,,1.0,,0.003896765577182228,1,2.886399999999999
RPS3A,DPN,44 Non-Candidate,-6.2233,,1.0,,4.868052626881148e-10,1,-6.2233
RPS3A,DR,44 Non-Candidate,-1.6612,,1.0,,0.09667328558915177,1,-1.6611999999999996
RPS8,DN,44 Non-Candidate,6.8474,6.8474,1.0,1.0,3.760211271209667e-12,2,6.945912748251505
RPS8,DPN,44 Non-Candidate,2.7498,2.7498,1.0,1.0,0.0029818440722254283,2,2.969603436047551
RPS8,DR,44 Non-Candidate,8.5157,8.5157,1.0,1.0,8.279349734498286e-18,2,8.595651799921281
RRBP1,DN,44 Non-Candidate,-1.5437,1.3665,3.0,2.0,0.07553274728067577,2,-1.7772157607992778
RRBP1,DPN,44 Non-Candidate,0.9096,-0.3309,3.0,2.0,1.0,2,1.8669045833583425e-59
RRBP1,DR,44 Non-Candidate,1.9256,1.0946,3.0,2.0,0.047284443146679976,2,1.9837434858015244
RREB1,DN,30 T2DM Control,0.7457,,1.0,,0.455848659186304,1,0.7456999999999998
RREB1,DPN,30 T2DM Control,1.9316,,1.0,,0.05340889585939939,1,1.9316
RREB1,DR,30 T2DM Control,3.8128,,1.0,,0.00013740129564142456,1,3.8127999999999993
