Gene,Trait,Group,Z_eQTLGen,Z_GTEx,Same_Direction
PNN,DPN,44_NonCandidate_HOTAIR,-34.8579,-8.8228,True
EHD4,DPN,44_NonCandidate_HOTAIR,2.7273,-9.0387,False
PDIA3,DPN,44_NonCandidate_HOTAIR,-3.6156,1.0609,False
MFAP1,DPN,44_NonCandidate_HOTAIR,-2.5355,-1.1947,True
FTO,DPN,30_T2DM_Control,9.4061,-2.0606,False
RPL13,DPN,44_NonCandidate_HOTAIR,0.4612,0.4133,True
C1QBP,DPN,44_NonCandidate_HOTAIR,1.5695,-1.8171,False
VAT1,DPN,44_NonCandidate_HOTAIR,-24.4594,-1.7857,True
GNA13,DPN,44_NonCandidate_HOTAIR,0.9145,3.9429,True
RPL17,DPN,44_NonCandidate_HOTAIR,-3.0482,-1.2639,True
EEF2,DPN,44_NonCandidate_HOTAIR,3.7826,3.274,True
UBA52,DPN,44_NonCandidate_HOTAIR,-3.0292,-2.6012,True
RRBP1,DPN,44_NonCandidate_HOTAIR,-2.1606,-0.3309,True
