Gene,Group,Trait,Z_eQTLGen,Z_GTEx_Multi,Abs_Z_eQTLGen,Abs_Z_GTEx
RPL13,44_NonCandidate_HOTAIR,DN,0.2723,0.3648,0.2723,0.3648
C1QBP,44_NonCandidate_HOTAIR,DN,3.2641,-1.996,3.2641,1.996
SLC16A11,30_T2DM_Control,DN,-1.4374,-1.0676,1.4374,1.0676
VAT1,44_NonCandidate_HOTAIR,DN,-4.1369,-0.3384,4.1369,0.3384
GNA13,44_NonCandidate_HOTAIR,DN,-6.5213,-1.5506,6.5213,1.5506
RPL17,44_NonCandidate_HOTAIR,DN,-16.3668,-0.7707,16.3668,0.7707
EEF2,44_NonCandidate_HOTAIR,DN,0.4942,-0.3593,0.4942,0.3593
TPM4,44_NonCandidate_HOTAIR,DN,-0.2789,-0.8459,0.2789,0.8459
UBA52,44_NonCandidate_HOTAIR,DN,2.5541,0.8429,2.5541,0.8429
RRBP1,44_NonCandidate_HOTAIR,DN,-7.3648,0.0442,7.3648,0.0442
MYH9,44_NonCandidate_HOTAIR,DN,-1.0861,-0.2515,1.0861,0.2515
RPS8,44_NonCandidate_HOTAIR,DPN,6.3228,0.9362,6.3228,0.9362
CCT3,44_NonCandidate_HOTAIR,DPN,10.6936,2.3088,10.6936,2.3088
GRB14,30_T2DM_Control,DPN,-0.6713,0.1114,0.6713,0.1114
PPARG,30_T2DM_Control,DPN,3.5267,-1.9277,3.5267,1.9277
RPL14,44_NonCandidate_HOTAIR,DPN,-4.2668,-1.206,4.2668,1.206
APPL1,30_T2DM_Control,DPN,0.4398,-3.0847,0.4398,3.0847
RPN1,44_NonCandidate_HOTAIR,DPN,-7.2651,1.5824,7.2651,1.5824
ST6GAL1,30_T2DM_Control,DPN,4.3389,-0.5635,4.3389,0.5635
ANXA5,44_NonCandidate_HOTAIR,DPN,-3.3682,-1.7644,3.3682,1.7644
RPS3A,44_NonCandidate_HOTAIR,DPN,-6.5186,-1.302,6.5186,1.302
PAM,30_T2DM_Control,DPN,-22.8895,-0.8514,22.8895,0.8514
RREB1,30_T2DM_Control,DPN,23.8107,1.1482,23.8107,1.1482
CDKAL1,30_T2DM_Control,DPN,-3.2592,-0.5595,3.2592,0.5595
RPL10A,44_NonCandidate_HOTAIR,DPN,-7.3886,-4.6883,7.3886,4.6883
JAZF1,30_T2DM_Control,DPN,1.1019,-0.3727,1.1019,0.3727
GCK,30_T2DM_Control,DPN,0.1726,-0.0539,0.1726,0.0539
HSPB1,44_NonCandidate_HOTAIR,DPN,5.3341,1.6632,5.3341,1.6632
PUF60,44_NonCandidate_HOTAIR,DPN,0.6117,1.4517,0.6117,1.4517
